month,organization,sub_org,downloads_tot,visits_tot
2017-01,"ministry of technology, innovation and citizens services",accommodation management,4.0,16.0
2017-01,"ministry of technology, innovation and citizens services",bc stats,104.0,265.0
2017-01,"ministry of technology, innovation and citizens services",corporate online services,0.0,4.0
2017-01,"ministry of technology, innovation and citizens services",information access operations,75.0,162.0
2017-01,"ministry of technology, innovation and citizens services",network bc,4.0,38.0
2017-01,"ministry of technology, innovation and citizens services",procurement services,1.0,7.0
2017-01,"ministry of technology, innovation and citizens services",provincial identity information management program,5.0,16.0
2017-01,"ministry of technology, innovation and citizens services, queen's printer",queen s printer,3.0,21.0
2017-01,"ministry of technology, innovation and citizens services",real estate policy and performance management,4.0,39.0
2017-01,"ministry of technology, innovation and citizens services, service analytics and standards - service bc",service bc,11.0,104.0
2017-01,ministry of transportation and infrastructure,business management services,76.0,237.0
2017-01,ministry of transportation and infrastructure,commercial vehicle safety and enforcement,5.0,19.0
2017-01,ministry of transportation and infrastructure,construction and maintenance,135.0,654.0
2017-01,ministry of transportation and infrastructure,emergency management bc,7.0,26.0
2017-01,"ministry of transportation and infrastructure, information management - tran",information management tran,33.0,113.0
2017-01,ministry of transportation and infrastructure,rehabilitation and maintenance,6.0,39.0
2017-01,non-government,gis innovations,2.0,3.0
2017-01,non-government.,geomatics data management inc,0.0,4.0
2017-01,non-government,interfor,0.0,7.0
2017-01,non-government,integrated cadastral information society,1.0,6.0
2017-01,non-government,translink,6.0,42.0
2017-01,non-government,vancouver 2010 integrated security unit,0.0,6.0
2017-01,non-government,vancouver olympic organizing committee,1.0,16.0
2017-01,non-government,weyerhaeuser,1.0,11.0
2017-01,office of the premier and cabinet office,intergovernmental relations secretariat,3.0,11.0
2017-01,worksafebc,business information and analysis statistical services,5.0,23.0
2017-02,bc agency,agricultural land commission,35.0,135.0
2017-02,bc agency,bc assessment authority,1.0,8.0
2017-02,bc agency,bc hydro and power authority,50.0,198.0
2017-02,bc agency,bc public service agency,1.0,10.0
2017-02,bc agency,destination bc,6.0,43.0
2017-02,bc agency,elections bc,43.0,521.0
2017-02,bc agency,interior health authority,0.0,1.0
2017-02,"bc agency, land title and survey authority of bc - ltsa",ltsa,32.0,95.0
2017-02,bc agency,oil and gas commission,103.0,536.0
2017-02,bc agency,worksafebc,2.0,17.0
2017-02,government communications and public engagement,citizen engagement,5.0,17.0
2017-02,government of canada,canadian wildlife service,16.0,138.0
2017-02,government of canada,environment canada,53.0,159.0
2017-02,government of canada,fisheries and oceans canada,1.0,38.0
2017-02,government of canada,industry canada,0.0,1.0
2017-02,government of canada,natural resources canada,7.0,77.0
2017-02,government of canada,royal canadian mounted police,16.0,46.0
2017-02,local government,city of north vancouver,1.0,5.0
2017-02,local government,city of surrey,1.0,3.0
2017-02,local government,cowichan valley regional district,0.0,2.0
2017-02,local government,fraser valley regional district,0.0,4.0
2017-02,local government,greater vancouver regional district,3.0,13.0
2017-02,"local government, municipality of north cowichan",north cowichan,4.0,22.0
2017-02,"ministry of aboriginal relations and reconciliation, deputy minister's office",deputy minister s office,6.0,53.0
2017-02,ministry of aboriginal relations and reconciliation,intergovernmental and community relations,15.0,72.0
2017-02,ministry of aboriginal relations and reconciliation,lands and resources,34.0,129.0
2017-02,"ministry of aboriginal relations and reconciliation, socio-economic partnerships",socio economic partnerships,3.0,16.0
2017-02,ministry of advanced education,advanced education,3.0,57.0
2017-02,ministry of advanced education,post secondary audit and accountability,32.0,231.0
2017-02,"ministry of advanced education, post-secondary finance",post secondary finance,77.0,218.0
2017-02,"ministry of agriculture, corporate governance, policy and legislation",corporate governance policy and legislation,3.0,72.0
2017-02,ministry of agriculture,food safety and inspection,4.0,8.0
2017-02,"ministry of children and family development, information management - cfd",information management cfd,22.0,88.0
2017-02,ministry of children and family development,integrated quality assurance,1.0,22.0
2017-02,ministry of children and family development,provincial interface and partnerships team,0.0,2.0
2017-02,"ministry of community, sport and cultural development",bc arts council,3.0,9.0
2017-02,"ministry of community, sport and cultural development",bc film commission,3.0,8.0
2017-02,"ministry of community, sport and cultural development",community gaming grants,3.0,29.0
2017-02,"ministry of community, sport and cultural development",governance and structure,9.0,157.0
2017-02,"ministry of community, sport and cultural development",local government infrastructure and finance,14.0,88.0
2017-02,ministry of education,analysis and reporting,109.0,786.0
2017-02,ministry of education,governance and legislation,2.0,36.0
2017-02,ministry of education,libraries and literacy,31.0,107.0
2017-02,ministry of energy and mines,bc geological survey,175.0,576.0
2017-02,ministry of energy and mines,geoscience,0.0,1.0
2017-02,ministry of energy and mines,health and safety and permitting,8.0,23.0
2017-02,ministry of energy and mines,mineral titles,376.0,1155.0
2017-02,ministry of energy and mines,mines and mineral resources division,14.0,32.0
2017-02,ministry of environment,climate action secretariat,13.0,131.0
2017-02,ministry of environment,conservation science section,0.0,3.0
2017-02,ministry of environment,ecosystems,99.0,502.0
2017-02,ministry of environment,environmental assessment office,1.0,30.0
2017-02,ministry of environment,environmental emergencies and land remediation,17.0,81.0
2017-02,ministry of environment,environmental management,3.0,6.0
2017-02,ministry of environment,environmental protection division,8.0,43.0
2017-02,ministry of environment,environmental quality,1.0,3.0
2017-02,ministry of environment,environmental standards,7.0,35.0
2017-02,ministry of environment,fish and wildlife compensation program,4.0,66.0
2017-02,ministry of environment,knowledge management,477.0,1872.0
2017-02,ministry of environment,parks planning and management,50.0,297.0
2017-02,ministry of environment,regional operations,0.0,31.0
2017-02,ministry of environment,strategic policy,4.0,6.0
2017-02,ministry of environment,water protection and sustainability,114.0,396.0
2017-02,ministry of finance,debt management,2.0,15.0
2017-02,ministry of finance,financial reporting and advisory services,22.0,247.0
2017-02,ministry of finance,gaming policy and enforcement,7.0,27.0
2017-02,"ministry of finance, privacy, compliance and training",privacy and legislation,84.0,142.0
2017-02,ministry of finance,property taxation,3.0,25.0
2017-02,ministry of finance,public sector employers council secretariat,6.0,28.0
2017-02,ministry of finance,treasury board staff,65.0,321.0
2017-02,"ministry of forests, lands and natural resource operations",archaeology,43.0,109.0
2017-02,"ministry of forests, lands and natural resource operations",authorization initiatives branch,8.0,42.0
2017-02,"ministry of forests, lands and natural resource operations ",bc timber sales,7.0,19.0
2017-02,"ministry of forests, lands and natural resource operations",bc wildfire service,151.0,486.0
2017-02,"ministry of forests, lands and natural resource operations, fish, wildlife and habitat management",fish wildlife and habitat management,288.0,932.0
2017-02,"ministry of forests, lands and natural resource operations",forest analysis and inventory,416.0,1636.0
2017-02,"ministry of forests, lands and natural resource operations",forest tenures,215.0,1046.0
2017-02,"ministry of forests, lands and natural resource operations",geobc,1172.0,5639.0
2017-02,"ministry of forests, lands and natural resource operations",heritage,13.0,108.0
2017-02,"ministry of forests, lands and natural resource operations",land tenures,5.0,69.0
2017-02,"ministry of forests, lands and natural resource operations",mountain resorts,8.0,70.0
2017-02,"ministry of forests, lands and natural resource operations (range, invasive plants and ecosystem restoration)",range,55.0,205.0
2017-02,"ministry of forests, lands and natural resource operations",recreation sites and trails bc,34.0,255.0
2017-02,"ministry of forests, lands and natural resource operations, regional operations - cariboo",regional operations cariboo,13.0,59.0
2017-02,"ministry of forests, lands and natural resource operations, regional operations - kootenay boundary",regional operations kootenay boundary,9.0,69.0
2017-02,"ministry of forests, lands and natural resource operations, regional operations - northeast",regional operations northeast,9.0,36.0
2017-02,"ministry of forests, lands and natural resource operations, regional operations - skeena",regional operations skeena,1.0,23.0
2017-02,"ministry of forests, lands and natural resource operations, regional operations - south coast",regional operations south coast,15.0,89.0
2017-02,"ministry of forests, lands and natural resource operations, regional operations - thompson okanagan",regional operations thompson okanagan,12.0,61.0
2017-02,"ministry of forests, lands and natural resource operations, regional operations - west coast",regional operations west coast,11.0,88.0
2017-02,"ministry of forests, lands and natural resource operations, research, innovation and knowledge management",research innovation and knowledge management,1.0,2.0
2017-02,"ministry of forests, lands and natural resource operations",resource management objectives,187.0,852.0
2017-02,"ministry of forests, lands and natural resource operations",resource practices,70.0,509.0
2017-02,"ministry of forests, lands and natural resource operations, southern interior forest region ",southern interior forest region sifr,1.0,5.0
2017-02,"ministry of forests, lands and natural resource operations",tree improvement,1.0,36.0
2017-02,"ministry of forests, lands and natural resource operations",water management,83.0,389.0
2017-02,ministry of health,british columbia vital statistics agency,7.0,34.0
2017-02,ministry of health,healthlinkbc,21.0,273.0
2017-02,"ministry of health, laboratory, diagnostic and blood services",laboratory diagnostic and blood services,1.0,5.0
2017-02,ministry of health,medical services,317.0,573.0
2017-02,ministry of health,pharmaceutical services division,7.0,25.0
2017-02,ministry of health,planning and innovation division,15.0,60.0
2017-02,ministry of health,provincial health services authority,28.0,104.0
2017-02,ministry of international trade,international marketing,33.0,331.0
2017-02,ministry of international trade,multiculturalism,0.0,1.0
2017-02,"ministry of jobs, tourism and skills training",databc,699.0,2527.0
2017-02,"ministry of jobs, tourism and skills training",economic development division,5.0,41.0
2017-02,"ministry of jobs, tourism and skills training",immigrant integration,1.0,3.0
2017-02,"ministry of jobs, tourism and skills training",labour market information,24.0,82.0
2017-02,"ministry of jobs, tourism and skills training",labour market programs,1.0,38.0
2017-02,"ministry of jobs, tourism and skills training",policy and stakeholder relations,2.0,5.0
