month,organization,sub_org,downloads_tot,visits_tot
2017-06,"ministry of forests, lands and natural resource operations, fish, wildlife and habitat management",fish wildlife and habitat management,303.0,734.0
2017-06,"ministry of forests, lands and natural resource operations",forest analysis and inventory,423.0,1201.0
2017-06,"ministry of forests, lands and natural resource operations",forest tenures,187.0,1201.0
2017-06,"ministry of forests, lands and natural resource operations",geobc,1286.0,5979.0
2017-06,"ministry of forests, lands and natural resource operations",heritage,44.0,162.0
2017-06,"ministry of forests, lands and natural resource operations",land tenures,4.0,55.0
2017-06,"ministry of forests, lands and natural resource operations",mountain resorts,5.0,40.0
2017-06,"ministry of forests, lands and natural resource operations (range, invasive plants and ecosystem restoration)",range,39.0,138.0
2017-06,"ministry of forests, lands and natural resource operations",recreation sites and trails bc,22.0,193.0
2017-06,"ministry of forests, lands and natural resource operations, regional operations - cariboo",regional operations cariboo,7.0,52.0
2017-06,"ministry of forests, lands and natural resource operations, regional operations - kootenay boundary",regional operations kootenay boundary,21.0,49.0
2017-06,"ministry of forests, lands and natural resource operations, regional operations - northeast",regional operations northeast,3.0,7.0
2017-06,"ministry of forests, lands and natural resource operations, regional operations - skeena",regional operations skeena,1.0,25.0
2017-06,"ministry of forests, lands and natural resource operations, regional operations - south coast",regional operations south coast,20.0,69.0
2017-06,"ministry of forests, lands and natural resource operations, regional operations - thompson okanagan",regional operations thompson okanagan,18.0,86.0
2017-06,"ministry of forests, lands and natural resource operations, regional operations - west coast",regional operations west coast,13.0,64.0
2017-06,"ministry of forests, lands and natural resource operations, research, innovation and knowledge management",research innovation and knowledge management,1.0,4.0
2017-06,"ministry of forests, lands and natural resource operations",resource management objectives,170.0,680.0
2017-06,"ministry of forests, lands and natural resource operations",resource practices,66.0,419.0
2017-06,"ministry of forests, lands and natural resource operations, southern interior forest region ",southern interior forest region sifr,3.0,9.0
2017-06,"ministry of forests, lands and natural resource operations",tree improvement,6.0,31.0
2017-06,"ministry of forests, lands and natural resource operations",water management,76.0,320.0
2017-06,ministry of health,british columbia vital statistics agency,30.0,73.0
2017-06,ministry of health,healthlinkbc,19.0,85.0
2017-06,"ministry of health, laboratory, diagnostic and blood services",laboratory diagnostic and blood services,1.0,6.0
2017-06,ministry of health,medical services,119.0,308.0
2017-06,ministry of health,pharmaceutical services division,8.0,39.0
2017-06,ministry of health,planning and innovation division,12.0,81.0
2017-06,ministry of health,provincial health services authority,27.0,102.0
2017-06,ministry of international trade,international marketing,52.0,481.0
2017-06,ministry of international trade,multiculturalism,1.0,1.0
2017-06,"ministry of jobs, tourism and skills training",databc,677.0,2101.0
2017-06,"ministry of jobs, tourism and skills training",economic development division,9.0,59.0
2017-06,"ministry of jobs, tourism and skills training",immigrant integration,1.0,1.0
2017-06,"ministry of jobs, tourism and skills training",labour market information,8.0,75.0
2017-06,"ministry of jobs, tourism and skills training",labour market programs,0.0,30.0
2017-06,"ministry of jobs, tourism and skills training",policy and stakeholder relations,0.0,3.0
2017-06,ministry of jobs and skills training,tourism,8.0,51.0
2017-06,"ministry of jobs, tourism and skills training, trades training, strategic planning & engagement",trades training strategic planning engagement,24.0,107.0
2017-06,"ministry of jobs, tourism and skills training",visitor services,0.0,2.0
2017-06,ministry of justice,civil forfeiture office,2.0,18.0
2017-06,ministry of justice,civil policy and legislation office,29.0,74.0
2017-06,ministry of justice,court services,27.0,74.0
2017-06,ministry of justice,criminal justice,3.0,14.0
2017-06,ministry of justice,office of the fire commissioner,0.0,5.0
2017-06,ministry of natural gas development,petroleum and natural gas titles,15.0,60.0
2017-06,ministry of natural gas development,tenure and geoscience,15.0,48.0
2017-06,ministry of public safety and solicitor general,corrections,4.0,38.0
2017-06,ministry of public safety and solicitor general,policing and security,27.0,158.0
2017-06,ministry of public safety and solicitor general,roadsafetybc,29.0,196.0
2017-06,ministry of small business and red tape reduction,liquor control and licensing,28.0,74.0
2017-06,ministry of small business and red tape reduction,liquor distribution,34.0,126.0
2017-06,ministry of small business and red tape reduction,regulatory reform,4.0,8.0
2017-06,ministry of small business and red tape reduction,small business programs,0.0,11.0
2017-06,ministry of social development and social innovation,employment and labour market service division,15.0,31.0
2017-06,ministry of social development and social innovation,research,7.0,199.0
2017-06,"ministry of technology, innovation and citizens services",accommodation management,2.0,9.0
2017-06,"ministry of technology, innovation and citizens services",bc stats,104.0,443.0
2017-06,"ministry of technology, innovation and citizens services",network bc,11.0,36.0
2017-06,"ministry of technology, innovation and citizens services",procurement services,4.0,9.0
2017-06,"ministry of technology, innovation and citizens services",provincial identity information management program,2.0,3.0
2017-06,"ministry of technology, innovation and citizens services, queen's printer",queen s printer,7.0,34.0
2017-06,"ministry of technology, innovation and citizens services, real estate business services",real estate policy and performance management,7.0,63.0
2017-06,"ministry of technology, innovation and citizens services, service analytics and standards - service bc",service bc,14.0,36.0
2017-06,ministry of transportation and infrastructure,business management services,41.0,106.0
2017-06,ministry of transportation and infrastructure,commercial vehicle safety and enforcement,2.0,6.0
2017-06,ministry of transportation and infrastructure,construction and maintenance,112.0,350.0
2017-06,ministry of transportation and infrastructure,emergency management bc,7.0,24.0
2017-06,"ministry of transportation and infrastructure, information management - tran",information management tran,13.0,40.0
2017-06,ministry of transportation and infrastructure,rehabilitation and maintenance,1.0,10.0
2017-06,ministry of transportation and infrastructure,southern interior region,0.0,3.0
2017-06,non-government,bc games society,1.0,11.0
2017-06,non-government,gis innovations,0.0,4.0
2017-06,non-government.,geomatics data management inc,0.0,2.0
2017-06,non-government,integrated cadastral information society,0.0,8.0
2017-06,non-government,translink,11.0,41.0
2017-06,non-government,vancouver 2010 integrated security unit,0.0,5.0
2017-06,non-government,vancouver olympic organizing committee,3.0,6.0
2017-06,non-government,weyerhaeuser,1.0,2.0
2017-06,office of the premier and cabinet office,intergovernmental relations secretariat,7.0,29.0
2017-06,worksafebc,business information and analysis statistical services,4.0,10.0
2017-05,bc agency,agricultural land commission,57.0,222.0
2017-05,bc agency,bc hydro and power authority,57.0,210.0
2017-05,bc agency,bc public service agency,0.0,6.0
2017-05,bc agency,destination bc,15.0,43.0
2017-05,bc agency,elections bc,135.0,640.0
2017-05,"bc agency, land title and survey authority of bc - ltsa",ltsa,48.0,126.0
2017-05,bc agency,oil and gas commission,128.0,805.0
2017-05,bc agency,worksafebc,2.0,15.0
2017-05,government communications and public engagement,citizen engagement,0.0,16.0
2017-05,government of canada,canadian wildlife service,13.0,42.0
2017-05,government of canada,environment canada,34.0,113.0
2017-05,government of canada,fisheries and oceans canada,7.0,19.0
2017-05,government of canada,natural resources canada,7.0,49.0
2017-05,government of canada,royal canadian mounted police,38.0,71.0
2017-05,local government,greater vancouver regional district,3.0,8.0
2017-05,"local government, municipality of north cowichan",north cowichan,9.0,23.0
2017-05,"ministry of aboriginal relations and reconciliation, deputy minister's office",deputy minister s office,12.0,76.0
2017-05,ministry of aboriginal relations and reconciliation,intergovernmental and community relations,19.0,120.0
2017-05,ministry of aboriginal relations and reconciliation,lands and resources,90.0,319.0
2017-05,"ministry of aboriginal relations and reconciliation, socio-economic partnerships",socio economic partnerships,3.0,21.0
2017-05,ministry of advanced education,advanced education,1.0,44.0
2017-05,ministry of advanced education,post secondary audit and accountability,25.0,159.0
2017-05,"ministry of advanced education, post-secondary finance",post secondary finance,90.0,193.0
2017-05,"ministry of agriculture, corporate governance, policy and legislation",corporate governance policy and legislation,20.0,101.0
2017-05,ministry of agriculture,food safety and inspection,11.0,54.0
2017-05,ministry of agriculture,sector development,0.0,4.0
2017-05,ministry of children and family development,child care programs and services,0.0,2.0
2017-05,ministry of children and family development,early years policy mcfd,0.0,2.0
2017-05,"ministry of children and family development, information management - cfd",information management cfd,4.0,46.0
2017-05,ministry of children and family development,integrated quality assurance,2.0,26.0
2017-05,ministry of children and family development,provincial interface and partnerships team,1.0,15.0
2017-05,"ministry of community, sport and cultural development",bc arts council,0.0,1.0
2017-05,"ministry of community, sport and cultural development",bc film commission,2.0,4.0
2017-05,"ministry of community, sport and cultural development",community gaming grants,19.0,50.0
2017-05,"ministry of community, sport and cultural development",governance and structure,19.0,136.0
2017-05,"ministry of community, sport and cultural development",local government infrastructure and finance,17.0,96.0
2017-05,ministry of education,analysis and reporting,119.0,590.0
2017-05,ministry of education,governance and legislation,1.0,18.0
2017-05,ministry of energy and mines,bc geological survey,160.0,561.0
2017-05,ministry of energy and mines,geoscience,0.0,1.0
2017-05,ministry of energy and mines,health and safety and permitting,13.0,49.0
2017-05,ministry of energy and mines,mineral titles,266.0,839.0
2017-05,ministry of energy and mines,mines and mineral resources division,7.0,49.0
2017-05,ministry of environment,climate action secretariat,28.0,125.0
2017-05,ministry of environment,conservation officer service,1.0,1.0
2017-05,ministry of environment,conservation science section,3.0,12.0
2017-05,ministry of environment,ecosystems,78.0,412.0
2017-05,ministry of environment,environmental assessment office,8.0,34.0
2017-05,ministry of environment,environmental emergencies and land remediation,21.0,66.0
2017-05,ministry of environment,environmental management,1.0,4.0
2017-05,ministry of environment,environmental protection division,3.0,32.0
2017-05,ministry of environment,environmental quality,4.0,6.0
2017-05,ministry of environment,environmental standards,5.0,11.0
2017-05,ministry of environment,fish and wildlife compensation program,21.0,74.0
2017-05,ministry of environment,knowledge management,685.0,2363.0
2017-05,ministry of environment,parks planning and management,56.0,349.0
2017-05,ministry of environment,regional operations,3.0,13.0
2017-05,ministry of environment,strategic policy,4.0,12.0
2017-05,ministry of environment,visitor programs,2.0,4.0
2017-05,ministry of environment,water protection and sustainability,118.0,440.0
2017-05,ministry of finance,debt management,5.0,18.0
2017-05,ministry of finance,financial reporting and advisory services,45.0,188.0
2017-05,ministry of finance,gaming policy and enforcement,3.0,13.0
2017-05,ministry of finance,information access operations,54.0,128.0
2017-05,"ministry of finance, privacy, compliance and training",privacy and legislation,69.0,158.0
2017-05,ministry of finance,property taxation,103.0,470.0
2017-05,ministry of finance,public sector employers council secretariat,12.0,46.0
2017-05,ministry of finance,treasury board staff,144.0,420.0
2017-05,"ministry of forests, lands and natural resource operations",archaeology,55.0,205.0
2017-05,"ministry of forests, lands and natural resource operations",authorization initiatives branch,4.0,29.0
2017-05,"ministry of forests, lands and natural resource operations ",bc timber sales,1.0,10.0
2017-05,"ministry of forests, lands and natural resource operations",bc wildfire service,457.0,1354.0
2017-05,"ministry of forests, lands and natural resource operations",ecosystem based management,0.0,1.0
2017-05,"ministry of forests, lands and natural resource operations, fish, wildlife and habitat management",fish wildlife and habitat management,399.0,975.0
2017-05,"ministry of forests, lands and natural resource operations",forest analysis and inventory,506.0,1613.0
2017-05,"ministry of forests, lands and natural resource operations",forest tenures,227.0,1326.0
2017-05,"ministry of forests, lands and natural resource operations",geobc,1229.0,5759.0
2017-05,"ministry of forests, lands and natural resource operations",heritage,41.0,156.0
2017-05,"ministry of forests, lands and natural resource operations",land tenures,11.0,99.0
2017-05,"ministry of forests, lands and natural resource operations",mountain resorts,0.0,28.0
2017-05,"ministry of forests, lands and natural resource operations (range, invasive plants and ecosystem restoration)",range,49.0,218.0
2017-05,"ministry of forests, lands and natural resource operations",recreation sites and trails bc,26.0,185.0
2017-05,"ministry of forests, lands and natural resource operations, regional operations - cariboo",regional operations cariboo,9.0,77.0
2017-05,"ministry of forests, lands and natural resource operations, regional operations - kootenay boundary",regional operations kootenay boundary,9.0,37.0
2017-05,"ministry of forests, lands and natural resource operations, regional operations - northeast",regional operations northeast,6.0,31.0
2017-05,"ministry of forests, lands and natural resource operations, regional operations - skeena",regional operations skeena,3.0,17.0
2017-05,"ministry of forests, lands and natural resource operations, regional operations - south coast",regional operations south coast,19.0,82.0
2017-05,"ministry of forests, lands and natural resource operations, regional operations - thompson okanagan",regional operations thompson okanagan,19.0,83.0
2017-05,"ministry of forests, lands and natural resource operations, regional operations - west coast",regional operations west coast,15.0,97.0
2017-05,"ministry of forests, lands and natural resource operations, research, innovation and knowledge management",research innovation and knowledge management,1.0,2.0
2017-05,"ministry of forests, lands and natural resource operations",resource management objectives,163.0,789.0
2017-05,"ministry of forests, lands and natural resource operations",resource practices,104.0,645.0
2017-05,"ministry of forests, lands and natural resource operations, southern interior forest region ",southern interior forest region sifr,3.0,16.0
2017-05,"ministry of forests, lands and natural resource operations",tree improvement,4.0,65.0
2017-05,"ministry of forests, lands and natural resource operations",water management,107.0,492.0
2017-05,ministry of health,british columbia vital statistics agency,23.0,41.0
2017-05,ministry of health,healthlinkbc,18.0,176.0
2017-05,"ministry of health, laboratory, diagnostic and blood services",laboratory diagnostic and blood services,5.0,40.0
2017-05,ministry of health,medical services,112.0,318.0
2017-05,ministry of health,pharmaceutical services division,6.0,36.0
2017-05,ministry of health,planning and innovation division,7.0,66.0
2017-05,ministry of health,provincial health services authority,16.0,83.0
2017-05,ministry of international trade,international marketing,49.0,343.0
2017-05,ministry of international trade,multiculturalism,0.0,5.0
2017-05,"ministry of jobs, tourism and skills training",databc,649.0,1962.0
2017-05,"ministry of jobs, tourism and skills training",economic development division,6.0,37.0
2017-05,"ministry of jobs, tourism and skills training",immigrant integration,2.0,6.0
2017-05,"ministry of jobs, tourism and skills training",labour market information,30.0,105.0
2017-05,"ministry of jobs, tourism and skills training",labour market programs,2.0,37.0
2017-05,"ministry of jobs, tourism and skills training",policy and stakeholder relations,0.0,7.0
2017-05,ministry of jobs and skills training,tourism,1.0,5.0
2017-05,"ministry of jobs, tourism and skills training, trades training, strategic planning & engagement",trades training strategic planning engagement,7.0,59.0
2017-05,"ministry of jobs, tourism and skills training",visitor services,4.0,13.0
2017-05,ministry of justice,civil forfeiture office,8.0,29.0
2017-05,ministry of justice,civil policy and legislation office,12.0,43.0
2017-05,ministry of justice,court services,27.0,199.0
2017-05,ministry of justice,criminal justice,1.0,11.0
2017-05,ministry of justice,office of the fire commissioner,2.0,11.0
2017-05,ministry of natural gas development,petroleum and natural gas titles,27.0,98.0
2017-05,ministry of natural gas development,tenure and geoscience,7.0,44.0
2017-05,ministry of public safety and solicitor general,corrections,4.0,79.0
2017-05,ministry of public safety and solicitor general,policing and security,5.0,82.0
2017-05,ministry of public safety and solicitor general,roadsafetybc,6.0,146.0
2017-05,ministry of small business and red tape reduction,liquor control and licensing,28.0,100.0
2017-05,ministry of small business and red tape reduction,liquor distribution,35.0,86.0
2017-05,ministry of small business and red tape reduction,regulatory reform,8.0,23.0
2017-05,ministry of small business and red tape reduction,small business programs,0.0,32.0
2017-05,ministry of social development and social innovation,employment and labour market service division,10.0,49.0
2017-05,ministry of social development and social innovation,research,30.0,218.0
2017-05,"ministry of technology, innovation and citizens services",accommodation management,4.0,12.0
2017-05,"ministry of technology, innovation and citizens services",bc stats,79.0,374.0
2017-05,"ministry of technology, innovation and citizens services",network bc,12.0,35.0
2017-05,"ministry of technology, innovation and citizens services",procurement services,2.0,19.0
2017-05,"ministry of technology, innovation and citizens services",provincial identity information management program,2.0,8.0
2017-05,"ministry of technology, innovation and citizens services, queen's printer",queen s printer,8.0,22.0
2017-05,"ministry of technology, innovation and citizens services, real estate business services",real estate policy and performance management,5.0,41.0
2017-05,"ministry of technology, innovation and citizens services, service analytics and standards - service bc",service bc,8.0,35.0
2017-05,ministry of transportation and infrastructure,business management services,39.0,151.0
2017-05,ministry of transportation and infrastructure,commercial vehicle safety and enforcement,0.0,8.0
2017-05,ministry of transportation and infrastructure,construction and maintenance,109.0,413.0
2017-05,ministry of transportation and infrastructure,emergency management bc,25.0,117.0
2017-05,"ministry of transportation and infrastructure, information management - tran",information management tran,39.0,120.0
2017-05,ministry of transportation and infrastructure,rehabilitation and maintenance,1.0,23.0
2017-05,ministry of transportation and infrastructure,southern interior region,0.0,4.0
2017-05,non-government,bc games society,0.0,16.0
2017-05,non-government,gis innovations,0.0,3.0
2017-05,non-government,integrated cadastral information society,0.0,9.0
2017-05,non-government,translink,6.0,79.0
2017-05,non-government,vancouver 2010 integrated security unit,1.0,1.0
2017-05,non-government,vancouver olympic organizing committee,5.0,13.0
2017-05,non-government,weyerhaeuser,0.0,6.0
2017-05,office of the premier and cabinet office,intergovernmental relations secretariat,1.0,13.0
2017-07,bc agency,agricultural land commission,30.0,134.0
2017-07,bc agency,bc hydro and power authority,50.0,164.0
2017-07,bc agency,bc public service agency,0.0,4.0
2017-07,bc agency,destination bc,9.0,39.0
2017-07,bc agency,elections bc,37.0,232.0
2017-07,"bc agency, land title and survey authority of bc - ltsa",ltsa,30.0,68.0
2017-07,bc agency,oil and gas commission,129.0,667.0
2017-07,bc agency,worksafebc,0.0,6.0
2017-07,government communications and public engagement,citizen engagement,3.0,12.0
2017-07,government communications and public engagement,databc,0.0,1.0
2017-07,government of canada,canadian wildlife service,13.0,77.0
2017-07,government of canada,environment canada,41.0,117.0
2017-07,government of canada,fisheries and oceans canada,10.0,15.0
2017-07,government of canada,natural resources canada,22.0,73.0
2017-07,government of canada,royal canadian mounted police,31.0,52.0
2017-07,local government,greater vancouver regional district,3.0,22.0
2017-07,"local government, municipality of north cowichan",north cowichan,8.0,29.0
2017-07,"ministry of aboriginal relations and reconciliation, deputy minister's office",deputy minister s office,6.0,48.0
2017-07,ministry of aboriginal relations and reconciliation,intergovernmental and community relations,23.0,109.0
2017-07,ministry of aboriginal relations and reconciliation,lands and resources,49.0,162.0
2017-07,"ministry of aboriginal relations and reconciliation, socio-economic partnerships",socio economic partnerships,10.0,30.0
2017-07,ministry of advanced education,advanced education,1.0,49.0
2017-07,ministry of advanced education,post secondary audit and accountability,30.0,143.0
2017-07,"ministry of advanced education, post-secondary finance",post secondary finance,67.0,176.0
2017-07,"ministry of agriculture, corporate governance, policy and legislation",corporate governance policy and legislation,12.0,52.0
2017-07,ministry of agriculture,food safety and inspection,14.0,46.0
2017-07,"ministry of children and family development, information management - cfd",information management cfd,16.0,86.0
2017-07,ministry of children and family development,integrated quality assurance,0.0,4.0
2017-07,ministry of children and family development,provincial interface and partnerships team,0.0,1.0
2017-07,"ministry of community, sport and cultural development",bc arts council,0.0,4.0
2017-07,"ministry of community, sport and cultural development",bc film commission,4.0,7.0
2017-07,"ministry of community, sport and cultural development",community gaming grants,14.0,42.0
2017-07,"ministry of community, sport and cultural development",governance and structure,16.0,131.0
2017-07,"ministry of community, sport and cultural development",local government infrastructure and finance,7.0,31.0
2017-07,ministry of education,analysis and reporting,121.0,667.0
2017-07,ministry of education,governance and legislation,2.0,38.0
2017-07,ministry of education,libraries and literacy,12.0,60.0
2017-07,ministry of energy and mines,bc geological survey,150.0,563.0
2017-07,ministry of energy and mines,health and safety and permitting,6.0,21.0
2017-07,ministry of energy and mines,mineral titles,290.0,808.0
2017-07,ministry of energy and mines,mines and mineral resources division,5.0,29.0
2017-07,ministry of environment,climate action secretariat,18.0,86.0
2017-07,ministry of environment,conservation officer service,2.0,2.0
2017-07,ministry of environment,conservation science section,0.0,8.0
2017-07,ministry of environment,ecosystems,90.0,392.0
2017-07,ministry of environment,environmental assessment office,3.0,28.0
2017-07,ministry of environment,environmental emergencies and land remediation,23.0,58.0
2017-07,ministry of environment,environmental management,7.0,22.0
2017-07,ministry of environment,environmental protection division,8.0,25.0
2017-07,ministry of environment,environmental quality,1.0,2.0
2017-07,ministry of environment,environmental standards,5.0,19.0
2017-07,ministry of environment,fish and wildlife compensation program,11.0,31.0
2017-07,ministry of environment,knowledge management,632.0,2085.0
2017-07,ministry of environment,parks planning and management,53.0,277.0
2017-07,ministry of environment,regional operations,2.0,9.0
2017-07,ministry of environment,strategic policy,1.0,4.0
2017-07,ministry of environment,visitor programs,1.0,1.0
2017-07,ministry of environment,water protection and sustainability,109.0,345.0
2017-07,ministry of finance,debt management,1.0,8.0
2017-07,ministry of finance,financial reporting and advisory services,38.0,147.0
2017-07,ministry of finance,gaming policy and enforcement,6.0,9.0
2017-07,ministry of finance,information access operations,39.0,90.0
2017-07,"ministry of finance, privacy, compliance and training",privacy and legislation,98.0,184.0
2017-07,ministry of finance,property taxation,125.0,471.0
2017-07,ministry of finance,public sector employers council secretariat,16.0,53.0
2017-07,ministry of finance,treasury board staff,66.0,255.0
2017-07,"ministry of forests, lands and natural resource operations",archaeology,39.0,173.0
2017-07,"ministry of forests, lands and natural resource operations",authorization initiatives branch,3.0,21.0
2017-07,"ministry of forests, lands and natural resource operations ",bc timber sales,2.0,7.0
2017-07,"ministry of forests, lands and natural resource operations",bc wildfire service,15307.0,27531.0
2017-07,"ministry of forests, lands and natural resource operations",ecosystem based management,0.0,8.0
2017-07,"ministry of forests, lands and natural resource operations",first nations relations,0.0,1.0
2017-07,"ministry of forests, lands and natural resource operations, fish, wildlife and habitat management",fish wildlife and habitat management,234.0,530.0
2017-07,"ministry of forests, lands and natural resource operations",forest analysis and inventory,391.0,1231.0
2017-07,"ministry of forests, lands and natural resource operations",forest tenures,176.0,969.0
2017-07,"ministry of forests, lands and natural resource operations",geobc,1183.0,4717.0
2017-07,"ministry of forests, lands and natural resource operations",heritage,44.0,127.0
2017-07,"ministry of forests, lands and natural resource operations",land tenures,9.0,75.0
2017-07,"ministry of forests, lands and natural resource operations",mountain resorts,5.0,59.0
2017-07,"ministry of forests, lands and natural resource operations (range, invasive plants and ecosystem restoration)",range,48.0,177.0
2017-07,"ministry of forests, lands and natural resource operations",recreation sites and trails bc,26.0,186.0
2017-07,"ministry of forests, lands and natural resource operations, regional operations - cariboo",regional operations cariboo,14.0,72.0
2017-07,"ministry of forests, lands and natural resource operations, regional operations - kootenay boundary",regional operations kootenay boundary,11.0,39.0
2017-07,"ministry of forests, lands and natural resource operations, regional operations - northeast",regional operations northeast,3.0,20.0
2017-07,"ministry of forests, lands and natural resource operations, regional operations - skeena",regional operations skeena,3.0,14.0
2017-07,"ministry of forests, lands and natural resource operations, regional operations - south coast",regional operations south coast,10.0,58.0
2017-07,"ministry of forests, lands and natural resource operations, regional operations - thompson okanagan",regional operations thompson okanagan,18.0,84.0
2017-07,"ministry of forests, lands and natural resource operations, regional operations - west coast",regional operations west coast,12.0,67.0
2017-07,"ministry of forests, lands and natural resource operations, research, innovation and knowledge management",research innovation and knowledge management,0.0,6.0
2017-07,"ministry of forests, lands and natural resource operations",resource management objectives,137.0,501.0
2017-07,"ministry of forests, lands and natural resource operations",resource practices,108.0,555.0
2017-07,"ministry of forests, lands and natural resource operations, southern interior forest region ",southern interior forest region sifr,9.0,35.0
2017-07,"ministry of forests, lands and natural resource operations",tree improvement,4.0,52.0
2017-07,"ministry of forests, lands and natural resource operations",water management,95.0,521.0
2017-07,ministry of health,british columbia vital statistics agency,38.0,118.0
2017-07,ministry of health,healthlinkbc,9.0,41.0
2017-07,"ministry of health, laboratory, diagnostic and blood services",laboratory diagnostic and blood services,1.0,11.0
2017-07,ministry of health,medical services,104.0,255.0
2017-07,ministry of health,pharmaceutical services division,11.0,25.0
2017-07,ministry of health,planning and innovation division,14.0,47.0
2017-07,ministry of health,provincial health services authority,38.0,115.0
2017-07,ministry of international trade,international marketing,45.0,385.0
2017-07,ministry of international trade,multiculturalism,0.0,1.0
2017-07,"ministry of jobs, tourism and skills training",databc,672.0,2059.0
2017-07,"ministry of jobs, tourism and skills training",economic development division,11.0,51.0
2017-07,"ministry of jobs, tourism and skills training",immigrant integration,2.0,8.0
2017-07,"ministry of jobs, tourism and skills training",labour market information,20.0,56.0
2017-07,"ministry of jobs, tourism and skills training",labour market programs,3.0,16.0
2017-07,"ministry of jobs, tourism and skills training",policy and stakeholder relations,1.0,3.0
2017-07,ministry of jobs and skills training,tourism,4.0,9.0
2017-07,"ministry of jobs, tourism and skills training, trades training, strategic planning & engagement",trades training strategic planning engagement,13.0,56.0
2017-07,ministry of justice,civil forfeiture office,1.0,15.0
2017-07,ministry of justice,civil policy and legislation office,17.0,61.0
2017-07,ministry of justice,court services,45.0,128.0
2017-07,ministry of justice,criminal justice,3.0,9.0
2017-07,ministry of justice,office of the fire commissioner,3.0,22.0
2017-07,ministry of natural gas development,petroleum and natural gas titles,31.0,146.0
2017-07,ministry of natural gas development,tenure and geoscience,20.0,95.0
2017-07,ministry of public safety and solicitor general,corrections,3.0,13.0
2017-07,ministry of public safety and solicitor general,policing and security,15.0,69.0
2017-07,ministry of public safety and solicitor general,roadsafetybc,11.0,48.0
2017-07,ministry of small business and red tape reduction,liquor control and licensing,52.0,105.0
2017-07,ministry of small business and red tape reduction,liquor distribution,32.0,87.0
2017-07,ministry of small business and red tape reduction,regulatory reform,11.0,44.0
2017-07,ministry of social development and social innovation,employment and labour market service division,18.0,52.0
2017-07,ministry of social development and social innovation,research,16.0,181.0
2017-07,"ministry of technology, innovation and citizens services",accommodation management,9.0,14.0
2017-07,"ministry of technology, innovation and citizens services",bc stats,73.0,303.0
2017-07,"ministry of technology, innovation and citizens services",network bc,7.0,72.0
2017-07,"ministry of technology, innovation and citizens services",procurement services,5.0,6.0
2017-07,"ministry of technology, innovation and citizens services",provincial identity information management program,6.0,15.0
2017-07,"ministry of technology, innovation and citizens services, queen's printer",queen s printer,6.0,19.0
2017-07,"ministry of technology, innovation and citizens services, real estate business services",real estate policy and performance management,7.0,25.0
2017-07,"ministry of technology, innovation and citizens services, service analytics and standards - service bc",service bc,8.0,19.0
2017-07,ministry of transportation and infrastructure,business management services,61.0,187.0
2017-07,ministry of transportation and infrastructure,commercial vehicle safety and enforcement,1.0,1.0
2017-07,ministry of transportation and infrastructure,construction and maintenance,111.0,346.0
2017-07,ministry of transportation and infrastructure,emergency management bc,12.0,58.0
2017-07,"ministry of transportation and infrastructure, information management - tran",information management tran,39.0,183.0
2017-07,ministry of transportation and infrastructure,rehabilitation and maintenance,5.0,6.0
2017-07,non-government,bc games society,5.0,44.0
2017-07,non-government,gis innovations,2.0,10.0
2017-07,non-government.,geomatics data management inc,0.0,2.0
2017-07,non-government,integrated cadastral information society,0.0,4.0
2017-07,non-government,translink,7.0,53.0
2017-07,non-government,vancouver 2010 integrated security unit,0.0,1.0
2017-07,non-government,vancouver olympic organizing committee,3.0,4.0
2017-07,non-government,weyerhaeuser,0.0,2.0
2017-07,office of the premier and cabinet office,intergovernmental relations secretariat,1.0,11.0
